"MP Name","Constituency","State","House","Allocated Amount (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Unspent Amount (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"Shri Harsh Mahajan (2024-30)","Sitting Rajya Sabha","Himachal Pradesh","Rajya Sabha",147000000,74932957,50.97,152,297,33.85,72067043,470,463,7,"N/A"
"Smt. Sonia Gandhi (2024-30)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",147000000,73650244,50.1,46,82,35.94,73349756,145,140,5,"N/A"
"Shri Surendra Singh Nagar (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",220563957.11,109500434.16,49.65,98,200,32.89,111063522.95000002,281,272,9,"N/A"
"Shri Babubhai Jesangbhai Desai (2023-29)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",171500000,84930425,49.52,137,128,51.7,86569575,170,166,4,"N/A"
"Smt. Sudha Murty (2024-30)","Nominated Rajya Sabha","Karnataka","Rajya Sabha",147000000,71000000,48.3,0,10,0,76000000,8,8,0,"N/A"
"Shri Ravi Chandra Vaddiraju (2024-30)","Sitting Rajya Sabha","Telangana","Rajya Sabha",152732534.11,73173325,47.91,107,168,38.91,79559209.11000001,162,161,1,"N/A"
"Shri Nagendra Ray (2023-29)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",171500000,82024946,47.83,2,20,9.09,89475054,13,13,0,"N/A"
"Smt. Maya Naroliya (2024-30)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",147000000,70041767,47.65,16,140,10.26,76958233,180,170,10,"N/A"
"Shri G.C. Chandrashekhar (2024-30)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",147000000,69767504,47.46,62,133,31.79,77232496,149,146,3,"N/A"
"Shri Kapil Sibal (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,92839935.12,47.35,64,155,29.22,103224021.99000001,290,279,11,"N/A"
"Dr. Sangeeta Balwant (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,68851419.5,46.84,2,383,0.52,78148580.5,254,254,0,"N/A"
"Shri Brij Lal (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,91370638,46.6,113,37,75.33,104693319.11000001,160,159,1,"N/A"
"Shri V. Vijayendra Prasad (2022-28)","Nominated Rajya Sabha","Andhra Pradesh","Rajya Sabha",196063957.11,90827947,46.33,74,121,37.95,105236010.11000001,113,107,6,"N/A"
"Dr. Sarfraz Ahmad (2024-30)","Sitting Rajya Sabha","Jharkhand","Rajya Sabha",178564551.09,82543604,46.23,20,273,6.83,96020947.09,186,156,30,"N/A"
"Shri Harbhajan Singh (2022-28)","Sitting Rajya Sabha","Punjab","Rajya Sabha",220984094.27,101056126.52,45.73,77,80,49.04,119927967.75000001,530,521,9,"N/A"
"Prof. Manoj Kumar Jha (2024-30)","Sitting Rajya Sabha","Bihar","Rajya Sabha",191620112.11,87200986,45.51,110,66,62.5,104419126.11000001,111,111,0,"N/A"
"Smt. Sulata Deo (2022-28)","Sitting Rajya Sabha","Odisha","Rajya Sabha",196084721.4,88913709,45.34,115,196,36.98,107171012.4,303,301,2,"N/A"
"Shri Naveen Jain (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,64773227,44.06,10,124,7.46,82226773,94,94,0,"N/A"
"Dr. Anil Sukhdeorao Bonde (2022-28)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",196063957.11,83459336,42.57,50,132,27.47,112604621.11000001,82,79,3,"N/A"
"Smt. Nirmala Sitharaman (2022-28)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",215972051.45,91394660,42.32,7,16,30.43,124577391.44999999,10,7,3,"N/A"
"Shri Samirul Islam (2023-29)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",171500000,71238651,41.54,0,57,0,100261349,17,17,0,"N/A"
"Shri Derek O' Brien (2023-29)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",171500000,70787264,41.28,0,35,0,100712736,16,16,0,"N/A"
"Ms. Dola Sen (2023-29)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",171500000,69414332,40.47,0,27,0,102085668,20,20,0,"N/A"
"Dr. Dinesh Sharma (2023-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,57084177,38.83,2,89,2.2,89915823,63,61,2,"N/A"
"Shri Sanjay Seth (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,56357801,38.34,19,40,32.2,90642199,48,46,2,"N/A"
"Shri Neeraj Shekhar (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",236483662.11,90266672,38.17,41,186,18.06,146216990.11,176,176,0,"N/A"
"Shri Anil Kumar Yadav Mandadi (2024-30)","Sitting Rajya Sabha","Telangana","Rajya Sabha",147000000,54363174,36.98,71,31,69.61,92636826,73,73,0,"N/A"
"Dr. Ajeet Madhavrao Gopchade (2024-30)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",147000000,53532752,36.42,44,48,47.83,93467248,52,51,1,"N/A"
"Dr. Syed Naseer Hussain (2024-30)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",147000000,52745755,35.88,3,59,4.84,94254245,44,44,0,"N/A"
"Shri S. Selvaganabathy (2021-27)","Sitting Rajya Sabha","Puducherry","Rajya Sabha",292881856.49,101658946,34.71,31,70,30.69,191222910.49,92,79,13,"N/A"
"Shri Sanjay Raut (2022-28)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",196063957.11,67167846,34.26,6,69,8,128896111.11000001,29,29,0,"N/A"
"Dr. Radha Mohan Das Agrawal (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",203626524.67000002,69089075,33.93,15,30,33.33,134537449.67000002,53,53,0,"N/A"
"Shri Akhilesh Prasad Singh (2024-30)","Sitting Rajya Sabha","Bihar","Rajya Sabha",186200000,62309563,33.46,38,18,67.86,123890437,50,48,2,"N/A"
"Shri Jairam Ramesh (2022-28)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",220563957.11,73253485,33.21,18,109,14.17,147310472.11,78,78,0,"N/A"
"Dr. Kalpana Saini (2022-28)","Sitting Rajya Sabha","Uttarakhand","Rajya Sabha",200830405.8,65308088,32.52,58,131,30.69,135522317.8,159,152,7,"N/A"
"Smt. Sagarika Ghose (2024-30)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",147000000,47289873,32.17,0,13,0,99710127,16,16,0,"N/A"
"Shri Ryaga Krishnaiah (2024-28)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",170413583.79,54608584,32.04,30,39,43.48,115804999.78999999,35,35,0,"N/A"
"Shri Damodar Rao Divakonda (2022-28)","Sitting Rajya Sabha","Telangana","Rajya Sabha",239919406.11,76576137,31.92,109,177,38.11,163343269.11,194,194,0,"N/A"
"Shri Randeep Singh Surjewala (2022-28)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",196063957.11,60881596,31.05,55,94,36.91,135182361.11,243,237,6,"N/A"
"Shri S.R. Sivalingam (2025-31)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",89248285.42,27371677,30.67,6,43,12.24,61876608.42,25,25,0,"N/A"
"Shri Mohammed Nadimul Haque (2024-30)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",147000000,45077861,30.67,1,18,5.26,101922139,16,16,0,"N/A"
"Smt. Mamata Thakur (2024-30)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",147000000,44446422,30.24,51,9,85,102553578,55,55,0,"N/A"
"Shri Abdul Wahab (2021-27)","Sitting Rajya Sabha","Kerala","Rajya Sabha",310898953.29,93760670,30.16,120,247,32.7,217138283.29000002,164,163,1,"N/A"
"Dr. Dharmasthala Veerendra Heggade (2022-28)","Nominated Rajya Sabha","Karnataka","Rajya Sabha",196063957.11,56879514,29.01,301,173,63.5,139184443.11,641,632,9,"N/A"
"Shri Pabitra Margherita (2022-28)","Sitting Rajya Sabha","Assam","Rajya Sabha",220563957.11,62784403.44,28.47,5,205,2.38,157779553.67000002,110,110,0,"N/A"
"Shri Balyogi Umeshnath (2024-30)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",147000000,41747000,28.4,11,67,14.1,105253000,83,80,3,"N/A"
"Dr. Medha Vishram Kulkarni (2024-30)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",147000000,41737818,28.39,31,76,28.97,105262182,49,49,0,"N/A"
"Smt. P. T. Usha (2022-28)","Nominated Rajya Sabha","Kerala","Rajya Sabha",196063957.11,55206130,28.16,39,83,31.97,140857827.11,77,76,1,"N/A"
"Shri Rajib Bhattacharjee (2024-28)","Sitting Rajya Sabha","Tripura","Rajya Sabha",122500000,34210580,27.93,18,40,31.03,88289420,39,36,3,"N/A"
"Shri Banshilal Gurjar (2024-30)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",147000000,40924435,27.84,10,71,12.35,106075565,93,93,0,"N/A"
"Shri Birendra Prasad Baishya (2025-31)","Sitting Rajya Sabha","Assam","Rajya Sabha",98000000,26202530,26.74,1,44,2.22,71797470,24,23,1,"N/A"
"Dr. L. Murugan (2024-30)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",147000000,38699774,26.33,6,30,16.67,108300226,40,39,1,"N/A"
"Dr. M. Dhanapal (2025-31)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",89248285.42,23199724,25.99,27,24,52.94,66048561.42,33,33,0,"N/A"
"Shri A. A. Rahim (2022-28)","Sitting Rajya Sabha","Kerala","Rajya Sabha",220563957.11,56633403,25.68,17,58,22.67,163930554.11,36,36,0,"N/A"
"Shri Sandosh Kumar P (2022-28)","Sitting Rajya Sabha","Kerala","Rajya Sabha",220563957.11,55957933,25.37,29,75,27.88,164606024.11,72,67,5,"N/A"
"Dr. Parmar Jashvantsinh Salamsinh (2024-30)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",147000000,36641140,24.93,61,312,16.35,110358860,93,93,0,"N/A"
"Smt. Jebi Mather Hisham (2022-28)","Sitting Rajya Sabha","Kerala","Rajya Sabha",220563957.11,54417993,24.67,47,72,39.5,166145964.11,75,75,0,"N/A"
"Shri Ajay Makan (2024-30)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",147000000,35435523,24.11,2,11,15.38,111564477,10,10,0,"N/A"
"Shri Kanad Purkayastha (2025-31)","Sitting Rajya Sabha","Assam","Rajya Sabha",98000000,23363207,23.84,0,50,0,74636793,31,30,1,"N/A"
"Dr. John Brittas (2021-27)","Sitting Rajya Sabha","Kerala","Rajya Sabha",245063957.11,57506835,23.47,36,108,25,187557122.11,57,56,1,"N/A"
"Shri Ghanshyam Tiwari (2022-28)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",196063957.11,45570943,23.24,28,60,31.82,150493014.11,190,181,9,"N/A"
"Smt. Rajathi (2025-31)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",89248285.42,20612106,23.1,16,39,29.09,68636179.42,22,20,2,"N/A"
"Dr. Sudhanshu Trivedi (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,33646948,22.89,14,30,31.82,113353052,28,28,0,"N/A"
"Shri Sadanand Mhalu Shet Tanavade (2023-29)","Sitting Rajya Sabha","Goa","Rajya Sabha",171500000,37836353.99,22.06,8,33,19.51,133663646.00999999,26,26,0,"N/A"
"Shri Dhananjay Bhimrao Mahadik (2022-28)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",220383643.11,48415797,21.97,32,125,20.38,171967846.11,41,41,0,"N/A"
"Shri Yerram Venkata Subba Reddy (2024-30)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",147000000,32233322,21.93,38,104,26.76,114766678,69,64,5,"N/A"
"Shri Madan Rathore (2024-30)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",147000000,31006198,21.09,21,111,15.91,115993802,226,220,6,"N/A"
"Shri Masthan Rao Yadav Beedha (2024-28)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",171296045.11,35512349,20.73,33,87,27.5,135783696.11,46,46,0,"N/A"
"Shri Subhash Barala (2024-30)","Sitting Rajya Sabha","Haryana","Rajya Sabha",147000000,29685944,20.19,4,73,5.19,117314056,62,59,3,"N/A"
