"MP Name","Constituency","State","House","Allocated Amount (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Unspent Amount (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"Shri Manas Ranjan Mangaraj (2022-28)","Sitting Rajya Sabha","Odisha","Rajya Sabha",196063957.11,13305000,6.79,23,104,18.11,182758957.11,31,31,0,"N/A"
"Shri Satnam Singh Sandhu (2024-30)","Nominated Rajya Sabha","Chandigarh","Rajya Sabha",147000000,9104144,6.19,4,20,16.67,137895856,59,58,1,"N/A"
"Shri Ashokrao Shankarrao Chavan (2024-30)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",147000000,8968982,6.1,2,31,6.06,138031018,8,8,0,"N/A"
"Shri Ashwini Vaishnaw (2024-30)","Sitting Rajya Sabha","Odisha","Rajya Sabha",265563957.11,14565426,5.48,4,13,23.53,250998531.11,21,21,0,"N/A"
"Shri Devendra Pratap Singh (2024-30)","Sitting Rajya Sabha","Chhattisgarh","Rajya Sabha",170837637.76,8275468,4.84,3,14,17.65,162562169.76,14,14,0,"N/A"
"Shri Lahar Singh Siroya (2022-28)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",206278088.11,9847659,4.77,2,14,12.5,196430429.11,7,7,0,"N/A"
"Shri Subhasish Khuntia (2024-30)","Sitting Rajya Sabha","Odisha","Rajya Sabha",147000000,5516064,3.75,3,219,1.35,141483936,31,31,0,"N/A"
"Shri Sanjay Kumar Jha (2024-30)","Sitting Rajya Sabha","Bihar","Rajya Sabha",186200000,5078584,2.73,4,2,66.67,181121416,6,6,0,"N/A"
"Smt. Laxmi Verma (2026-32)","Sitting Rajya Sabha","Chhattisgarh","Rajya Sabha",49000000,1250000,2.55,0,2,0,47750000,2,2,0,"N/A"
"Shri Nitin Laxmanrao Jadhav Patil (2024-28)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",122500000,2996110,2.45,3,57,5,119503890,3,3,0,"N/A"
"Shri B. Parthasaradhi Reddy (2022-28)","Sitting Rajya Sabha","Telangana","Rajya Sabha",244365104,5945528,2.43,6,19,24,238419576,7,7,0,"N/A"
"Smt. Renuka Chowdhury (2024-30)","Sitting Rajya Sabha","Telangana","Rajya Sabha",147000000,3061296,2.08,0,105,0,143938704,7,5,2,"N/A"
"Shri Paka Venkata Satyanarayana (2025-28)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",98000000,1599035,1.63,1,12,7.69,96400965,1,1,0,"N/A"
"Shri Jagat Prakash Nadda (2024-30)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",147000000,2100000,1.43,0,74,0,144900000,5,4,1,"N/A"
"Shri Milind Murli Deora (2024-30)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",147000000,999996,0.68,0,25,0,146000004,2,1,1,"N/A"
"Shri Kartikeya Sharma (2022-28)","Sitting Rajya Sabha","Haryana","Rajya Sabha",196000000,1161226,0.59,0,62,0,194838774,2,2,0,"N/A"
"Dr. Alka Singh (2026-32)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Dr. Abhishek Manu Singhvi (2026-32)","Sitting Rajya Sabha","Telangana","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Terash Gowalla (2026-32)","Sitting Rajya Sabha","Assam","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Dr. Meenakshi Jain (2025-31)","Nominated Rajya Sabha","Delhi","Rajya Sabha",73500000,0,0,0,10,0,73500000,0,0,0,"N/A"
"Dr. Santrupt Misra (2026-32)","Sitting Rajya Sabha","Odisha","Rajya Sabha",49000000,0,0,0,11,0,49000000,0,0,0,"N/A"
"Shri Tai Tagak (2026-32)","Sitting Rajya Sabha","Arunachal Pradesh","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Tiruchi Siva (2026-32)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",49356476.5,0,0,0,0,0,49356476.5,0,0,0,"N/A"
"Dr. Jyoti Nagnath Waghmare (2026-32)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Ujjwal Deorao Nikam (2025-31)","Nominated Rajya Sabha","Maharashtra","Rajya Sabha",73500000,0,0,0,0,0,73500000,0,0,0,"N/A"
"Shri Upendra Kushwaha (2026-32)","Sitting Rajya Sabha","Bihar","Rajya Sabha",49000000,0,0,0,6,0,49000000,0,0,0,"N/A"
"Shri Vijay Chintakayala (2026-32)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Dr. M. Thambi Durai (2026-32)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",49356476.5,0,0,0,0,0,49356476.5,0,0,0,"N/A"
"Smt. Maya Chintaman Ivnate (2026-32)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",49000000,0,0,0,20,0,49000000,0,0,0,"N/A"
"Shri Vinod Shridhar Tawde (2026-32)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Smt. Adhikarimayum Sharda Devi (2026-32)","Sitting Rajya Sabha","Manipur","Rajya Sabha",49000000,0,0,0,3,0,49000000,0,0,0,"N/A"
"Dr. Mukeshbhai J. Rathwa (2026-32)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri L. K. Sudhish (2026-32)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",49356476.5,0,0,0,0,0,49356476.5,0,0,0,"N/A"
"Shri Bhashyam Rama Krishna (2026-32)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
